P : 56534.3
Cargo :484,	z :0.542937,	Path :2T15->5T16->5g18->5g19->2g20->2g21->2g22->4g22->4O24->4h26->4o27-><
Cargo :485,	z :0.178571,	Path :2B31->4B31->4C32->4E33->4l34->4m36->4f37->4T38->4o39->4F41-><
Cargo :485,	z :0,	Path :2B52->4B52->4C53->4E54->4l55->4m57->4f58->4T59->4o60->4F62-><
Cargo :485,	z :0.00161841,	Path :2B25->3B26->3B27->3\32->3\33->3e37->3k41->3k42->2k43->2k44->2k45->2k46->4k46->4F47-><
Cargo :485,	z :0.00261574,	Path :2B26->3B27->3\32->3\33->3e37->3k41->3k42->2k43->2k44->2k45->2k46->4k46->4F47-><
Cargo :485,	z :0.0285651,	Path :2B46->3B47->3B48->3o53->3o54->3o55->2o56->2o57->2o58->2o59->2o60->4o60->4F62-><
Cargo :485,	z :0.0461682,	Path :2B47->3B48->3o53->3o54->3o55->2o56->2o57->2o58->2o59->2o60->4o60->4F62-><
Cargo :486,	z :0.456652,	Path :2R18->3R19->3C21->3C22->3h24->3h25->3U34->3U35->2U36->2U37->6U37->6K39-><
Cargo :486,	z :0.543348,	Path :2R39->3R40->3C42->3C43->3h45->3h46->3U55->3U56->2U57->2U58->6U58->6K60-><
Cargo :500,	z :0.360287,	Path :2r48->3r49->3P53->3P54->3R60->3R61->3C63->3C64->2C65->6C65->6V67->6B69-><
Cargo :501,	z :0.204587,	Path :2d53->4d53->4A54->4Q56->4P58-><
Cargo :501,	z :0.204587,	Path :2d74->4d74->4A75->4Q77->4P79-><
Cargo :503,	z :0.210526,	Path :2W54->4W54->4U55-><
Cargo :507,	z :0.692308,	Path :2k11->4k11->4H13->4f14->4`16->4S17-><
Cargo :512,	z :0.361664,	Path :2n22->4n22->4]24-><
Cargo :512,	z :0.276673,	Path :2n32->4n32->4]34-><
Cargo :512,	z :0.361664,	Path :2n43->4n43->4]45-><
Cargo :513,	z :0.231884,	Path :2V37->5V38->5F41->5F42->5E49->5E50->5E51->2E52->2E53->2E54->4E54->4l55-><
Cargo :513,	z :0.231884,	Path :2V58->5V59->5F62->5F63->5E70->5E71->5E72->2E73->2E74->2E75->4E75->4l76-><
Cargo :513,	z :0.231884,	Path :2V45->3V46->3_55->3_56->3Z58->3Z59->3f61->3f62->3E64->3E65->2E66->4E66->4l67-><
Cargo :513,	z :0.231884,	Path :2V50->5V51->5`58->5`59->5n66->5n67->2n68->2n69->2n70->2n71->4n71->4l73-><
Cargo :517,	z :1,	Path :2L41->3L42->3o45->3W54->3W55->2W56->2W57->2W58->3W59->3r65-><
Cargo :519,	z :0.95,	Path :2c69->4c69->4]70->4V71->4G73->4r74-><
Cargo :521,	z :0.00844957,	Path :2K54->5K55->5K56->5B64->2B65->4B65->4r66->4g68->4c70->4L71-><
Cargo :526,	z :0.267857,	Path :2[27->3[28->3r35->3r36->3Q44->3Q45->2Q46->2Q47->4Q47->4P49->4B51->4A53-><
Cargo :526,	z :0.321429,	Path :2[19->3[20->3G29->3G30->2G31->2G32->2G33->2G34->4G34->4F35->4A36-><
Cargo :526,	z :0.321429,	Path :2[40->3[41->3G50->3G51->2G52->2G53->2G54->2G55->4G55->4F56->4A57-><
Cargo :532,	z :0.857143,	Path :2l9->4l9->4C10->4S11->4H13-><
Cargo :533,	z :1,	Path :2L41->3L42->3o45->3W54->3W55->3I59-><
Cargo :536,	z :0.140422,	Path :2a51->3a52->3K59->3O64->3O65->2O66->4O66->4m68-><
Cargo :536,	z :0.543904,	Path :2a54->5a55->5`59->5`60->2`61->2`62->2`63->4`63->4m64-><
Cargo :537,	z :1,	Path :2S53->3S54->3I63-><
Cargo :546,	z :0.00711552,	Path :2f1->4f1->4l2->4C3->4S4->4Q5->4P7->4B9->4r10->4g12-><
Cargo :547,	z :0.459122,	Path :2^37->3^38->3K40->3K41->3V45->2V46->6V46->6B48->6C49-><
